px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	6.95323e-310
0.027226	-0.027226	0	0	0	0	0	0	0	0	0	1.76426
1.53395	-0.11834	1.22384	-1.38778e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.836
1.61592	0.0205581	1.60481	-0.0575836	-0.0325113	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	3.95468
3.87177	-0.13041	1.90236	-0.126491	-0.0713335	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.60981
3.94428	0.0708557	2.13702	0.277569	0.154113	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	5.06224
6.83189	0.41073	2.70446	0.056211	0.182961	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	2.60753
6.75383	0.437697	2.71636	0.0886805	0.179451	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.48437
9.06973	0.594483	2.7922	-0.00214945	-0.0180645	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.28203
9.03577	0.663945	2.83735	0.0932692	0.0542225	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.19684
11.5629	1.65971	2.95403	0.619808	0.318908	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.581473
11.5389	1.62206	2.96385	0.586179	0.288068	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.514531
13.6164	2.34024	2.5181	0.384756	-0.00618541	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1.0576
13.6317	2.30767	2.60946	0.325382	-0.0975127	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.803714
16.5938	2.8967	2.91507	-0.0265985	-0.260677	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.27374
16.5346	2.88826	2.92307	-0.00844556	-0.236995	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.910303
19.005	3.69522	2.86345	0.428101	0.191253	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.569402
19.075	3.7194	2.81972	0.478379	0.252606	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.40259
21.3202	4.73165	2.84163	0.424325	0.05392	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.18434
21.3804	4.7409	2.93741	0.380737	-0.00464879	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.861566
24.0569	5.56578	3.05864	0.187256	-0.12564	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.463503
24.1641	5.60139	3.18945	0.180509	-0.123274	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.10828
26.6046	6.95226	3.18149	0.657573	0.260054	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.411504
26.593	6.94115	3.26616	0.59142	0.149502	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.149905
29.5547	8.0789	3.35404	0.228554	-0.186511	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.938408
29.5433	8.07664	3.26378	0.222046	-0.199657	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.143648
31.9434	9.86818	3.25005	0.849553	0.335787	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.803829
31.8998	9.84187	3.29129	0.788412	0.241158	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.70406
34.6268	10.7366	2.74755	0.241773	-0.266331	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.06228
34.722	10.7807	2.97424	0.245991	-0.237305	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.61521
37.1361	12.0778	3.00396	0.610434	0.154273	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.470037
37.2154	12.096	3.16745	0.542234	0.0302914	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.7453
40.2849	13.4504	3.4236	0.247651	-0.183642	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1.66468
40.2248	13.43	3.26275	0.238411	-0.214314	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.10878
42.7645	14.8205	3.25604	0.608727	0.162879	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.413442
42.7414	14.8109	3.32303	0.570588	0.100323	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.228238
45.338	16.5428	3.45397	0.561844	0.0269903	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.37772
45.3862	16.56	3.40585	0.57896	0.0702072	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.789406
48.1516	17.2909	3.30956	0.13072	-0.264856	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0.369974
48.129	17.2777	3.1517	0.078861	-0.36584	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.417457
50.627	19.0544	2.94833	0.813727	0.343093	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.66506
50.6042	19.0296	3.08657	0.688849	0.139889	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.505115
53.6874	19.8905	3.11304	0.0026883	-0.406323	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	1.79883
53.6594	19.8791	3.07996	-0.00208727	-0.422443	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.235605
56.06	21.07	2.7162	0.466804	0.154131	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.02553
56.0265	21.0518	2.77236	0.433118	0.115567	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.457556
58.6446	21.7809	2.86922	0.143955	-0.148455	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.51352
58.6458	21.7876	2.96087	0.179842	-0.0892439	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0970896
60.8741	22.7811	2.89939	0.507009	0.176736	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.227455
60.8466	22.7706	2.87744	0.504373	0.178472	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.211195
63.37	23.4103	2.88028	0.119095	-0.183239	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.440302
63.4558	23.4381	2.82974	0.069862	-0.247388	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.04604
66.3061	23.9869	2.99237	0.313603	0.0734611	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.17081
66.2203	23.9613	2.64719	0.281521	0.0326649	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.47405
68.2635	24.3611	2.63622	0.179132	-0.0534724	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.0266128
68.3496	24.3929	2.68148	0.189581	-0.0413176	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.98918
70.8113	24.8791	2.79033	0.240237	0.0174311	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.290238
70.7808	24.8655	2.55974	0.194226	-0.050737	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.632138
72.8917	24.7191	2.57734	-0.177936	-0.253947	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.118267
72.9413	24.7355	2.57694	-0.18353	-0.271444	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.683638
75.022	25.2382	2.20476	0.262218	0.179125	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	1.23508
75.0062	25.2338	2.17215	0.255147	0.171522	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0629581
77.1114	24.9425	2.25546	-0.340725	-0.318019	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.717273
77.1361	24.9477	2.23936	-0.370027	-0.363587	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.193352
79.1103	25.0084	1.9152	0.0534449	0.137855	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.47379
79.1182	25.0114	1.91797	0.057464	0.13953	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0204423
80.8001	24.8728	1.99022	-0.0383762	-0.00950839	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.0976151
80.8509	24.8791	1.87766	-0.120263	-0.144478	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.26831
82.5961	24.6376	2.01773	-0.106415	-0.0431587	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.325055
82.5773	24.6265	1.8923	-0.203243	-0.199822	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.304757
84.1631	24.5425	1.87276	-0.0130483	0.0423232	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.227445
84.165	24.5433	1.79746	-0.0486743	-0.0265545	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.160884
85.6374	23.8198	1.87266	-0.571846	-0.332256	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.304562
85.6941	23.8399	1.92139	-0.511069	-0.26066	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.871853
86.977	23.4919	1.44438	-0.35818	-0.0191396	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.32467
87.0806	23.5268	1.48583	-0.315195	-0.0262569	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.55125
88.7469	22.7993	1.97578	-0.351933	-0.0264056	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.10325
88.6822	22.7721	1.8707	-0.521438	-0.254285	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.968759
89.5628	22.2686	1.32905	-0.672675	-0.216718	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	2.26695
89.6125	22.2843	1.36227	-0.61819	-0.161134	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.640776
90.5146	21.6574	1.27081	-0.609242	-0.0573238	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0897229
